번호,뉴스 제목,수집시간
1,"CXL 관련주, 본격적인 개화 시기를 앞두며 삼성·SK하이닉스 현황 체크!! : 네이버 블로그",2025-09-09 17:18:27
2,"반도체 관련주 ‘에이텍솔루션’, ‘미래에셋비전스팩8호’ 코스닥 상장",2025-09-09 17:18:27
3,"시스템반도체 관련주, '함박웃음' 시그네틱스·LB세미콘·하나마이크론·아진엑스텍... '한숨' 삼성전자",2025-09-09 17:18:27
4,[테마추적]쿠팡 자동화 투자 2배 확대 '물류 혁신 기대감' 스마트팩토리 테마주 급등,2025-09-09 17:18:27
5,알리바바 AI 칩 개발·美 규제 충격에…삼전·SK하이닉스 '약세',2025-09-09 17:18:27
6,[기업이슈] 美 300% 반도체 관세 결정 초읽기…관련주 급락,2025-09-09 17:18:27
7,"코스피, AI 반도체 관련주 약세에 이틀 연속 하락…3142.93 마감",2025-09-09 17:18:27
8,"파운드리 관련주, 삼성전자 파운드리 공장 투자 재개에 수혜주는??",2025-09-09 17:18:27
9,[오늘의 테마] '반도체 소부장' VS '스마트폰 관련주',2025-09-09 17:18:27
10,"AI 반도체 수혜주 테크윙, HBM 검사 장비로 실적 '훨훨'",2025-09-09 17:18:27
11,"코스피, 외인·기관 반도체 매도세에 ‘하락’ 마감...북미 회복 전망 농심 4.51%↑",2025-09-09 17:18:27
12,"뉴욕증시, AI 거품 논란 속 낙폭 축소…혼조 마감",2025-09-09 17:18:27
13,"시스템반도체 관련주, '봄날의 햇살' 아진엑스텍·아이에이·SK하이닉스·삼성전자",2025-09-09 17:18:27
14,"오전장핫이슈(9월5일), '반도체 브로드컴', '엔터 음원 청취자수', '로봇 쿠팡' : 네이버 블로그",2025-09-09 17:18:27
15,로보택시 달리고… 가상화폐·2차전지·반도체 관련주 상한가 찍고 [뉴스톡 웰스톡],2025-09-09 17:18:27
16,"반도체 장비 관련주, '쑥쑥' 엑시콘·네오셈·하나마이크론·원익홀딩스·러셀",2025-09-09 17:18:27
17,2.1조 흥행 반도체 관련주 ‘쎄크’ 코스닥 상장,2025-09-09 17:18:27
18,"반도체 재료·부품 관련주, '룰루랄라 콧노래' 한솔아이원스·하나마이크론",2025-09-09 17:18:27
19,반도체·우주항공 관련주 ‘티케이씨·한컴인스페이스’ 코스닥 상장,2025-09-09 17:18:27
20,"반도체 장비 관련주, '함박웃음' 유니셈·유니테스트·테크윙·신성이엔지... '시무룩' 러셀",2025-09-09 17:18:27
21,"반도체 장비 관련주, '룰루랄라 콧노래' HPSP·원익홀딩스·러셀·엔투텍·피에스케이",2025-09-09 17:18:27
22,"유리기판 관련주, AI 반도체 수출 통제 철회에 수혜주는?? : 네이버 블로그",2025-09-09 17:18:27
23,"시스템반도체 관련주, '방긋방긋 미소천사' 하나마이크론·아이에이·삼성전자... '시무룩' SK하이닉스",2025-09-09 17:18:27
24,"반도체주, 미 관세 불확실성에 하락세…SK하이닉스, 2%대↓",2025-09-09 17:18:27
25,"일본 증시, 반도체 관련주 약세에 반락 마감…0.66%↓",2025-09-09 17:18:27
26,"오로스테크놀로지 주가, 반도체 미세화 경쟁 핵심 수혜주!! : 네이버 블로그",2025-09-09 17:18:27
27,[코리아밸류업] LG이노텍 6% 상승 '주목'…반도체 관련주 상승세 주도,2025-09-09 17:18:27
28,엔비디아 역사적 시총 기록…반도체 관련주 강세,2025-09-09 17:18:27
29,엔비디아 효과… 최근 한 달 반도체주 강세,2025-09-09 17:18:27
30,"반도체장비 관련주, 엔비디아 'H20' 中 수출 허가 등에 장비주 수혜!! : 네이버 블로그",2025-09-09 17:18:27
31,범용 메모리 가격 방향틀자…반도체소부장株 주가 '꿈틀' [종목+],2025-09-09 17:18:27
32,"반도체 D램 관련주, D램 가격 바닥 탈출하며 HBM/eSSD/CXL/LPDDR 수혜주는??",2025-09-09 17:18:27
33,[테마추적] 코로나19·반도체·조선 테마주 일제히 상승세,2025-09-09 17:18:27
34,"시스템반도체 관련주, '함박웃음' 이미지스·싸이닉솔루션·SK하이닉스·삼성전자... '눈물' 아이에이",2025-09-09 17:18:27
35,"CXL 관련주, 반도체 수출 호조에 CXL 선점 경쟁 더 치열해진다~ : 네이버 블로그",2025-09-09 17:18:27
36,[일본 증시] 반도체株 일제히 하락…미중 개발 경쟁 격화 우려,2025-09-09 17:18:27
37,"중국 증시, 반도체 관련주 강세",2025-09-09 17:18:27
38,수출 규제 강화에 반도체 관련주 일제히 폭락…엔비디아 6.87%↓,2025-09-09 17:18:27
39,"[특징주] 트럼프, 다음주 중 고율의 반도체 관세 발표 예고… 반도체株 일제 약세",2025-09-09 17:18:27
40,"시스템반도체 관련주, '룰루랄라 콧노래' LB세미콘·미래반도체·칩스앤미디어·삼성전자... '한숨' 싸이닉솔루션·SK하이닉스",2025-09-09 17:18:27
41,"유리기판 관련주, AI데이터센터·고성능 반도체 필수로 꼽히니깐!! : 네이버 블로그",2025-09-09 17:18:27
42,[일본 증시] 반도체 매수와 차익 매도 겹치며 소폭 반등,2025-09-09 17:18:27
43,삼성전자 급등 배경은… 반도체 테마주도 일제히 상승,2025-09-09 17:18:27
44,"NPU 관련주, 국산 AI 생태계 구축에 나서며 수혜 본다~ : 네이버 블로그",2025-09-09 17:18:27
45,"반도체 관련주, 글로벌 수요 회복 기대감에 상승세",2025-09-09 17:18:27
46,"초순수 관련주, 용인 반도체 클러스터 수혜주 : 네이버 블로그",2025-09-09 17:18:27
47,"[테마주 동향] 코로나19, 반도체, 조선, 비만치료제, 게임株",2025-09-09 17:18:27
48,"트럼프, 반도체·의약품 '관세 폭탄' 예고…관련주 하락[핫종목]",2025-09-09 17:18:27
49,2.2조 끌어모은 반도체 관련주 ‘엠디바이스’ 코스닥 상장,2025-09-09 17:18:27
50,"유리기판 관련주, 인텔 유리기판 철수에 국내기업 수혜보나?! : 네이버 블로그",2025-09-09 17:18:27
